City,Body_Type,Ownerno,Company,Model,Modelyear,Variantname,Price,Registration_Year,Insurance_Validity,Fuel_Type,Seats,Kms_Driven,Transmission,Year_Of_Manufacture,Engine,Mileage,Age_Old_In_Year
chennai,Sedan,1,BMW,7 Series,2017,Signature,15.732433170146336,2017,Comprehensive,Diesel,5,27000,Automatic,2017,2993,16.46,7
chennai,SUV,1,Tata,Nexon,2018,1.2 Revotron,13.468785944878707,2018,Comprehensive,Petrol,5,38334,Manual,2018,1198,17.0,6
chennai,Hatchback,1,Volkswagen,Polo,2019,1.0 MPI,13.42984807715229,2019,Third Party,Petrol,5,36992,Manual,2019,999,17.74,5
chennai,SUV,2,BMW,X3,2016,xDrive30d M,15.137266397946592,2016,Comprehensive,Diesel,5,50000,Automatic,2016,2993,16.55,8
chennai,SUV,1,Tata,New Safari,2021,XZA,14.527970049556592,2021,Comprehensive,Diesel,6,34596,Automatic,2021,1956,14.08,3
chennai,Hatchback,1,Datsun,GO,2019,A,12.901716706288706,2019,Third Party,Petrol,5,84564,Manual,2019,1198,19.02,5
chennai,Sedan,2,Mercedes-Benz,E-Class,2013,E250,14.580978400103843,2013,Comprehensive,Diesel,5,60001,Automatic,2013,2143,13.0,11
chennai,Hatchback,1,Hyundai,Santro,2018,Magna,13.132313708257495,2018,Zero Dep,Petrol,5,23462,Manual,2018,1086,20.3,6
chennai,SUV,1,Volkswagen,Taigun,2022,1.0 TSI,14.284888991816093,2022,Third Party,Petrol,5,13000,Automatic,2022,999,18.41,2
chennai,Sedan,1,Honda,Amaze,2019,V CVT,13.62918097977278,2019,Comprehensive,Diesel,5,54658,Automatic,2019,1498,23.8,5
chennai,SUV,1,Mahindra,XUV300,2020,W8,13.850877701801563,2020,Third Party,Petrol,5,34164,Manual,2020,1197,16.82,4
chennai,SUV,1,Kia,Seltos,2022,HTK Plus,14.282384294201082,2022,Third Party,Petrol,5,10000,Manual,2022,1497,16.8,2
chennai,Hatchback,3,Fiat,Punto,2010,Emotion,11.512925464970229,2010,Third Party,Petrol,5,70000,Manual,2010,1368,14.6,14
chennai,SUV,1,Hyundai,Venue,2020,S,13.623138665316818,2020,Third Party,Petrol,5,37000,Manual,2020,1197,17.52,4
chennai,SUV,1,Mahindra,XUV700,2022,AX7 Diesel,14.880221294956703,2022,Comprehensive,Diesel,7,20000,Automatic,2022,2198,15.1,2
chennai,Hatchback,1,Maruti,Baleno,2016,Alpha,13.217673557208654,2016,Comprehensive,Petrol,5,53967,Manual,2016,1197,21.4,8
chennai,Hatchback,1,Hyundai,i10,2011,Magna,12.608198852372825,2011,Comprehensive,Petrol,5,52700,Manual,2011,1197,20.36,13
chennai,SUV,1,Tata,Nexon,2018,1.2 Revotron,13.527828485512494,2018,Third Party,Petrol,5,60000,Automatic,2018,1198,17.0,6
chennai,Hatchback,1,Maruti,Baleno,2016,Alpha,13.217673557208654,2016,Comprehensive,Petrol,5,53967,Manual,2016,1197,21.4,8
chennai,Sedan,2,Honda,Amaze,2014,E Petrol,12.834681304952548,2014,Comprehensive,Petrol,5,99225,Manual,2014,1199,18.6,10
chennai,Sedan,2,Fiat,Linea,2011,Emotion,12.48748510496836,2011,Third Party,Petrol,5,60000,Manual,2011,1368,16.0,13
chennai,Hatchback,1,Honda,Jazz,2020,VX CVT,13.602317337503232,2020,Third Party,Petrol,5,48220,Automatic,2020,1199,17.1,4
chennai,Hatchback,1,Honda,Jazz,2016,1.2 VX,13.203021280421783,2016,Third Party,Petrol,5,72024,Manual,2016,1199,18.7,8
chennai,Sedan,1,Honda,Amaze,2016,S AT,13.178743710840436,2016,Third Party,Petrol,5,80000,Automatic,2016,1198,15.5,8
chennai,Hatchback,1,Volkswagen,Polo,2017,1.2 MPI,13.435713196604688,2017,Third Party,Petrol,5,78735,Manual,2017,1199,16.2,7
chennai,SUV,2,Ford,Ecosport,2018,1.5 Diesel,13.608486388529949,2018,Zero Dep,Diesel,5,72955,Manual,2018,1498,23.0,6
